% Density Profile of Hard Spheres at a Hard Flat Wall: rho(z), rho(z < 0.5) = 0
% Bulk density: rho (95% CI) = 0.79231789(0.00000354)
%
% rho_i is the average density in the interval [z_i-0.01, z_i+0.01]
%
%  z_i    rho_i     95% CI 
 7.650  0.7908936  0.0000661
 7.670  0.7908324  0.0000667
 7.690  0.7907208  0.0000675
 7.710  0.7906348  0.0000671
 7.730  0.7907205  0.0000681
 7.750  0.7906912  0.0000670
 7.770  0.7907592  0.0000661
 7.790  0.7908317  0.0000672
 7.810  0.7908902  0.0000683
 7.830  0.7910244  0.0000677
 7.850  0.7911953  0.0000672
 7.870  0.7913466  0.0000672
 7.890  0.7914727  0.0000680
 7.910  0.7916283  0.0000685
 7.930  0.7918200  0.0000686
 7.950  0.7919929  0.0000675
 7.970  0.7921273  0.0000668
 7.990  0.7923393  0.0000682
 8.010  0.7924672  0.0000663
 8.030  0.7927264  0.0000677
 8.050  0.7928362  0.0000666
 8.070  0.7929748  0.0000661
 8.090  0.7930845  0.0000668
 8.110  0.7931468  0.0000670
 8.130  0.7932645  0.0000667
 8.150  0.7932980  0.0000673
 8.170  0.7933714  0.0000677
 8.190  0.7933820  0.0000665
 8.210  0.7933730  0.0000676
 8.230  0.7933715  0.0000663
 8.250  0.7933072  0.0000677
 8.270  0.7932858  0.0000669
 8.290  0.7931960  0.0000675
 8.310  0.7931441  0.0000677
 8.330  0.7930396  0.0000672
 8.350  0.7929025  0.0000673
 8.370  0.7928443  0.0000677
 8.390  0.7927759  0.0000676
 8.410  0.7926174  0.0000684
 8.430  0.7925565  0.0000683
 8.450  0.7924021  0.0000659
 8.470  0.7922364  0.0000674
 8.490  0.7921385  0.0000674
 8.510  0.7920939  0.0000681
 8.530  0.7919870  0.0000675
 8.550  0.7918544  0.0000658
 8.570  0.7918303  0.0000666
 8.590  0.7917331  0.0000676
 8.610  0.7916936  0.0000670
 8.630  0.7916960  0.0000669
 8.650  0.7916493  0.0000671
 8.670  0.7916333  0.0000678
 8.690  0.7915826  0.0000667
 8.710  0.7916228  0.0000681
 8.730  0.7916754  0.0000680
 8.750  0.7916684  0.0000660
 8.770  0.7918068  0.0000669
 8.790  0.7918159  0.0000670
 8.810  0.7918527  0.0000679
 8.830  0.7919802  0.0000687
 8.850  0.7920022  0.0000673
 8.870  0.7920530  0.0000680
 8.890  0.7921229  0.0000673
 8.910  0.7922383  0.0000681
 8.930  0.7922760  0.0000676
 8.950  0.7923522  0.0000677
 8.970  0.7924483  0.0000674
 8.990  0.7925321  0.0000676
 9.010  0.7925743  0.0000665
 9.030  0.7926184  0.0000676
 9.050  0.7926120  0.0000681
 9.070  0.7927058  0.0000673
 9.090  0.7926980  0.0000673
 9.110  0.7927260  0.0000678
 9.130  0.7927704  0.0000668
 9.150  0.7927527  0.0000678
 9.170  0.7927594  0.0000673
 9.190  0.7927231  0.0000664
 9.210  0.7926763  0.0000680
 9.230  0.7927203  0.0000671
 9.250  0.7926568  0.0000672
 9.270  0.7926357  0.0000673
 9.290  0.7926439  0.0000665
 9.310  0.7925212  0.0000664
 9.330  0.7925124  0.0000674
 9.350  0.7925264  0.0000672
 9.370  0.7924005  0.0000665
 9.390  0.7924137  0.0000661
 9.410  0.7923436  0.0000670
 9.430  0.7923463  0.0000671
 9.450  0.7922555  0.0000668
 9.470  0.7921961  0.0000660
 9.490  0.7921416  0.0000674
 9.510  0.7921048  0.0000671
 9.530  0.7921320  0.0000674
 9.550  0.7920185  0.0000664
 9.570  0.7920290  0.0000675
 9.590  0.7919902  0.0000668
 9.610  0.7920711  0.0000671
 9.630  0.7920063  0.0000666
 9.650  0.7920250  0.0000672
 9.670  0.7920119  0.0000686
 9.690  0.7920514  0.0000665
 9.710  0.7920197  0.0000679
 9.730  0.7921251  0.0000678
 9.750  0.7920782  0.0000684
 9.770  0.7921439  0.0000682
 9.790  0.7921079  0.0000660
 9.810  0.7922004  0.0000680
 9.830  0.7922041  0.0000675
 9.850  0.7922850  0.0000687
 9.870  0.7923190  0.0000670
 9.890  0.7923393  0.0000682
 9.910  0.7923523  0.0000674
 9.930  0.7923555  0.0000677
 9.950  0.7923629  0.0000677
 9.970  0.7924894  0.0000660
 9.990  0.7924585  0.0000669
10.010  0.7924825  0.0000669
10.030  0.7925269  0.0000683
10.050  0.7925077  0.0000686
10.070  0.7925206  0.0000672
10.090  0.7925131  0.0000663
10.110  0.7924845  0.0000678
10.130  0.7925738  0.0000673
10.150  0.7925474  0.0000670
10.170  0.7925073  0.0000665
10.190  0.7925374  0.0000679
10.210  0.7924851  0.0000668
10.230  0.7924489  0.0000659
10.250  0.7924895  0.0000679
10.270  0.7923946  0.0000668
10.290  0.7923537  0.0000673
10.310  0.7924019  0.0000688
10.330  0.7923898  0.0000672
10.350  0.7923469  0.0000684
10.370  0.7923424  0.0000670
10.390  0.7923502  0.0000666
10.410  0.7922579  0.0000667
10.430  0.7922510  0.0000667
10.450  0.7922007  0.0000668
10.470  0.7922177  0.0000680
10.490  0.7921734  0.0000659
10.510  0.7922359  0.0000670
10.530  0.7921947  0.0000659
10.550  0.7921696  0.0000667
10.570  0.7921857  0.0000677
10.590  0.7921568  0.0000672
10.610  0.7921551  0.0000668
10.630  0.7921826  0.0000677
10.650  0.7921248  0.0000670
10.670  0.7922274  0.0000669
10.690  0.7921856  0.0000674
10.710  0.7922044  0.0000668
10.730  0.7922643  0.0000680
10.750  0.7922294  0.0000669
10.770  0.7921847  0.0000678
10.790  0.7922496  0.0000676
10.810  0.7923149  0.0000675
10.830  0.7923548  0.0000683
10.850  0.7924358  0.0000671
10.870  0.7923872  0.0000680
10.890  0.7924213  0.0000673
10.910  0.7923322  0.0000673
10.930  0.7924054  0.0000670
10.950  0.7923652  0.0000671
10.970  0.7924080  0.0000672
10.990  0.7924409  0.0000667
11.010  0.7923876  0.0000681
11.030  0.7924297  0.0000675
11.050  0.7924412  0.0000671
11.070  0.7924132  0.0000674
11.090  0.7923794  0.0000665
11.110  0.7924258  0.0000666
11.130  0.7924063  0.0000673
11.150  0.7924198  0.0000673
11.170  0.7923963  0.0000680
11.190  0.7923310  0.0000684
11.210  0.7923489  0.0000681
11.230  0.7923839  0.0000663
11.250  0.7923180  0.0000678
11.270  0.7923332  0.0000666
11.290  0.7923040  0.0000670
11.310  0.7923302  0.0000678
11.330  0.7922743  0.0000676
11.350  0.7923322  0.0000666
11.370  0.7922941  0.0000661
11.390  0.7922661  0.0000663
11.410  0.7923559  0.0000677
11.430  0.7923277  0.0000671
11.450  0.7923582  0.0000668
11.470  0.7923018  0.0000672
11.490  0.7922116  0.0000677
11.510  0.7922227  0.0000677
11.530  0.7922257  0.0000668
11.550  0.7922214  0.0000671
11.570  0.7922375  0.0000688
11.590  0.7922469  0.0000665
11.610  0.7922274  0.0000667
11.630  0.7922478  0.0000669
11.650  0.7922934  0.0000675
11.670  0.7923077  0.0000671
11.690  0.7922329  0.0000681
11.710  0.7923069  0.0000677
11.730  0.7923464  0.0000680
11.750  0.7922920  0.0000670
11.770  0.7922930  0.0000673
11.790  0.7922808  0.0000661
11.810  0.7923348  0.0000687
11.830  0.7923331  0.0000667
11.850  0.7922899  0.0000667
11.870  0.7923902  0.0000675
11.890  0.7923446  0.0000668
11.910  0.7923742  0.0000672
11.930  0.7923618  0.0000680
11.950  0.7924239  0.0000670
11.970  0.7923966  0.0000668
11.990  0.7923369  0.0000672
12.010  0.7923887  0.0000677
12.030  0.7923989  0.0000664
12.050  0.7923638  0.0000679
